Name,Type,Hull_Number,Shipyard,Laid_Down,Launched,Completed,Difference,Namesake,Fate
Ferdinand A Silcox,Cargo,2177,Permanente Metals Co Yard,1943-10-10,1943-10-28,1943-11-06,27.0,Ferdinand A. Silcox,Scrapped 1970
James H Lane,Cargo,2259,Oregon Shipbuilding Corp,1943-10-09,1943-10-29,1943-11-06,28.0,James H. Lane,"Sold private 1947, wrecked and scrapped 1957"
Lucien B Maxwell,Cargo,1959,Todd Houston Shipbuilding Corp,1943-09-07,1943-10-23,1943-11-06,60.0,Lucien B. Maxwell,Wrecked and lost in the Seine Estuary 1945
Sara Teasdale,Cargo,2178,Permanente Metals Co Yard,1943-10-12,1943-10-30,1943-11-07,26.0,Sara Teasdale,"Sold private 1947, sunk 1966"
John H Marion,Tanker,1895,California Shipbuilding Corp,1943-09-16,1943-10-17,1943-11-07,52.0,John H. Marion,"Sold private 1947, scrapped 1967"
John P Altgeld,Tanker,1896,California Shipbuilding Corp,1943-09-17,1943-10-18,1943-11-08,52.0,John P. Altgeld,"Sold private 1947, scrapped 1969"
Robert Fechner,Cargo,1066,Southeastern Shipbuilding Corp,1943-09-06,1943-10-28,1943-11-08,63.0,Robert Fechner,"Sold private 1947, scrapped 1966"
Samois,Cargo,1815,Bethlehem-Fairfield Shipyards,1943-10-06,1943-10-31,1943-11-08,33.0,Samuel M. Ralston,"Sold private 1947, scrapped 1967"
William D Hoard,Cargo,2260,Oregon Shipbuilding Corp,1943-10-11,1943-10-30,1943-11-08,28.0,William D. Hoard,"Sold private 1947, scrapped 1968"
George Popham,Cargo,2194,New England Shipbuilding Corp,1943-09-01,1943-10-21,1943-11-08,68.0,George Popham,Scrapped 1967
Samakron,Cargo,2190,New England Shipbuilding Corp,1943-09-13,1943-10-31,1943-11-09,57.0,Jeremiah Chaplin,"Sold private 1947, scrapped 1959"
James King,Cargo,2179,Permanente Metals Co Yard,1943-10-13,1943-10-31,1943-11-09,27.0,James King,Scrapped 1961
Samsip,Cargo,1816,Bethlehem-Fairfield Shipyards,1943-10-08,1943-11-01,1943-11-09,32.0,Samsip,Mined and scuttled in the Schelde 1944
Mary Bickerdyke,Cargo,2116,Permanente Metals Co Yard,1943-10-05,1943-10-27,1943-11-09,35.0,Mary Bickerdyke,"Sold private 1947, wrecked 1948, declared total loss but repaired, sunk 1966"
R F Peckham,Cargo,2180,Permanente Metals Co Yard,1943-10-14,1943-11-02,1943-11-10,27.0,R. F. Peckham,"Damaged in collision 1945, repaired, sold private 1950, scrapped 1976"
Francis W Parker,Cargo,2261,Oregon Shipbuilding Corp,1943-10-13,1943-11-01,1943-11-10,28.0,Francis W. Parker,Scrapped 1965
James A Wetmore,Cargo,1502,J A Jones Construction Co (Brunswick),1943-08-14,1943-10-30,1943-11-11,89.0,James A. Whetmore,Scrapped 1967
Albert S Burleson,Cargo,1960,Todd Houston Shipbuilding Corp,1943-09-14,1943-10-28,1943-11-11,58.0,Albert S. Burleson,Scrapped 1971
Harvey Cushing,Cargo,1210,St Johns River Shipbuilding Co,1943-09-05,1943-10-31,1943-11-11,67.0,Harvey Cushing,"Sold private 1947, wrecked 1965, declared total loss, scrapped"
Henry L Ellsworth ,Tanker,1744,Delta Shipbuilding Co,1943-07-15,1943-09-02,1943-11-12,120.0,Henry L. Ellsworth,"Sold private 1950, scrapped 1968"
Samsette,Cargo,1817,Bethlehem-Fairfield Shipyards,1943-10-09,1943-11-05,1943-11-12,34.0,Samsette,"Sold private 1947, scrapped 1968"
Horace V White,Cargo,2519,Oregon Shipbuilding Corp,1943-10-15,1943-11-03,1943-11-12,28.0,Horace V. White,Scrapped 1961
William W Campbell,Cargo,2117,Permanente Metals Co Yard,1943-10-09,1943-10-29,1943-11-12,34.0,William W. Campbell,"Sold private 1947, scrapped 1967"
Byelgorod ,Tanker,1897,California Shipbuilding Corp,1943-09-18,1943-10-19,1943-11-12,55.0,Paul Dunbar,"To Russia 1944 as Byelgorod, returned 1946, later Morris Hess, Palatiani, Andros Pearl, Ilissos, Elena and Orient Importer, scrapped 1969"
Peter Trumble Rowe,Cargo,2181,Permanente Metals Co Yard,1943-10-16,1943-11-04,1943-11-12,27.0,Peter Trimble Rowe,Scrapped 1962
Thomas H Gallaudet,Tanker,1898,California Shipbuilding Corp,1943-09-19,1943-10-21,1943-11-13,55.0,Thomas H. Gallaudet,"To Russia 1944 as Maikop, returned 1946, later Amberstar, Elmira, Pontos and Samuel S., wrecked and lost 1969"
Keith Vawter,Cargo,2182,Permanente Metals Co Yard,1943-10-17,1943-11-05,1943-11-13,27.0,Keith Vawter,"Sold private 1947, scrapped 1972"
Elisha P Ferry,Cargo,2520,Oregon Shipbuilding Corp,1943-10-16,1943-11-05,1943-11-14,29.0,Elisha P. Ferry,Scrapped 1969
Samphill,Cargo,2196,New England Shipbuilding Corp,1943-09-15,1943-11-05,1943-11-15,61.0,Barrett Wendell,"Sold private 1947, scrapped 1967"
Michael C Kerr,Cargo,2118,Permanente Metals Co Yard,1943-10-13,1943-10-30,1943-11-15,33.0,Michael C. Kerr,Scrapped 1969
Samoine,Cargo,1819,Bethlehem-Fairfield Shipyards,1943-10-11,1943-11-08,1943-11-15,35.0,Samoine,"Sold private 1947, scrapped 1971"
Charles Scribner,Cargo,1818,Bethlehem-Fairfield Shipyards,1943-10-10,1943-11-06,1943-11-15,36.0,Charles Scribner,"Sold private 1947, scrapped 1973"
Andrew A Humphreys ,Tanker,1916,Delta Shipbuilding Co,1943-08-08,1943-09-25,1943-11-15,99.0,Andrew A. Humphreys,"Sold private 1948, scrapped 1969"
James G Maguire,Cargo,2183,Permanente Metals Co Yard,1943-10-19,1943-11-07,1943-11-15,27.0,James G. Maguire,"Sold private 1947, scrapped 1972"
Lucius Fairchild,Cargo,2521,Oregon Shipbuilding Corp,1943-10-18,1943-11-06,1943-11-16,29.0,Lucius Fairchild,"Sold private 1947, scrapped 1968"
Robert Louis Stevenson,Cargo,2184,Permanente Metals Co Yard,1943-10-21,1943-11-09,1943-11-16,26.0,Robert Louis Stevenson,Defied scuttling and sunk 1967
Schuyler Colfax,Tanker,1899,California Shipbuilding Corp,1943-09-21,1943-10-24,1943-11-16,56.0,Schuyler Colfax,"Wrecked 1946, sunk as target 1947"
Phobos,Cargo,1961,Todd Houston Shipbuilding Corp,1943-09-25,1943-11-06,1943-11-17,53.0,Joseph H. Kibbey,"To U.S. Navy as Phobos (AK-129), scrapped 1970"
Charles C Jones,Cargo,1067,Southeastern Shipbuilding Corp,1943-09-18,1943-11-05,1943-11-17,60.0,Charles C. Jones,Scrapped 1960
Samflora,Cargo,1820,Bethlehem-Fairfield Shipyards,1943-10-12,1943-11-09,1943-11-17,36.0,Samflora,"Sold private 1947, scrapped 1968"
William Crompton,Tanker,1746,Delta Shipbuilding Co,1943-08-06,1943-09-23,1943-11-17,103.0,William Crompton,"Sold private 1948, scrapped 1969"
Samlong,Cargo,2191,New England Shipbuilding Corp,1943-09-20,1943-11-07,1943-11-17,58.0,Elias Hasket Derby,"Damaged by a Linsen boat off Normandy 1944, scrapped 1949"
Eliza Jane Nicholson ,Tanker,1922,Delta Shipbuilding Co,1943-08-27,1943-10-09,1943-11-17,82.0,Eliza Jane Nicholson,"Sold private 1951, declared total loss 1967"
Francisco M Quinones,Cargo,2185,Permanente Metals Co Yard,1943-10-22,1943-11-10,1943-11-18,27.0,Francisco M. Quiñones,Scrapped 1968
Armadillo ,Tanker,1900,California Shipbuilding Corp,1943-09-24,1943-10-26,1943-11-18,55.0,Sidney Howard,"To U.S. Navy as Armadillo (IX-111), sold private 1948, scrapped 1972"
Jane G Swisshelm,Cargo,2522,Oregon Shipbuilding Corp,1943-10-20,1943-11-08,1943-11-18,29.0,Jane G. Swisshelm,Scrapped 1967
Harry Leon Wilson,Cargo,2119,Permanente Metals Co Yard,1943-10-15,1943-11-11,1943-11-19,35.0,Harry Leon Wilson,"Sold private 1947, wrecked and scrapped 1971"
John La Farge,Cargo,1822,Bethlehem-Fairfield Shipyards,1943-10-16,1943-11-12,1943-11-19,34.0,John LaFarge,"Sold private 1947, scrapped 1968"
Alkaid,Cargo,1211,St Johns River Shipbuilding Co,1943-09-13,1943-11-08,1943-11-19,67.0,William G. Sumner,"To U.S. Navy as Alkaid (AK-114), scrapped 1964"
Samrich,Cargo,2197,New England Shipbuilding Corp,1943-09-15,1943-11-05,1943-11-20,66.0,William Pitt Preble,"Sold private 1947, scrapped 1968"
Beagle ,Tanker,1901,California Shipbuilding Corp,1943-09-27,1943-10-29,1943-11-20,54.0,David Rittenhouse,"To U.S. Navy as Beagle (IX-112), sold private 1948, scrapped 1964"
Oscar Chappell,Cargo,1962,Todd Houston Shipbuilding Corp,1943-09-29,1943-11-10,1943-11-20,52.0,Oscar Chappell,Scrapped 1958
Ferdinand Westdahl,Cargo,2186,Permanente Metals Co Yard,1943-10-25,1943-11-12,1943-11-20,26.0,Ferdinand Westdahl,Scrapped 1967
Sambuff,Cargo,1821,Bethlehem-Fairfield Shipyards,1943-10-15,1943-11-13,1943-11-20,36.0,Sambuff,"Sold private 1947, scrapped 1967"
Henry T Rainey,Cargo,2523,Oregon Shipbuilding Corp,1943-10-22,1943-11-10,1943-11-20,29.0,Henry T. Rainey,Scrapped 1973
Frederick Bartholdi,Cargo,1503,J A Jones Construction Co (Brunswick),1943-08-29,1943-11-09,1943-11-20,83.0,Frédéric Bartholdi,"Wrecked in the Hebrides 1943, declared total loss, scrapped"
William F Empey,Cargo,2187,Permanente Metals Co Yard,1943-10-26,1943-11-13,1943-11-21,26.0,William F. Empey,"Sold private 1947, scrapped 1968"
Samburgh,Cargo,1823,Bethlehem-Fairfield Shipyards,1943-10-17,1943-11-14,1943-11-22,36.0,Samburgh,"Sold private 1947, scrapped 1969"
Oscar S Straus ,Tanker,1918,Delta Shipbuilding Co,1943-08-16,1943-10-04,1943-11-22,98.0,Oscar S. Straus,"Sold private 1947, scrapped 1970"
Thomas F Cunningham,Tanker,1919,Delta Shipbuilding Co,1943-09-02,1943-10-15,1943-11-22,81.0,Thomas F. Cunningham,"Sold private 1949, scrapped 1965"
Thomas Crawford,Cargo,2524,Oregon Shipbuilding Corp,1943-10-23,1943-11-12,1943-11-22,30.0,Thomas Crawford,Scrapped 1959
Camel ,Tanker,1902,California Shipbuilding Corp,1943-09-30,1943-10-31,1943-11-22,53.0,William H. Carruth,"To U.S. Navy as Camel (IX-113), sold private 1948, scrapped 1963"
John L Stoddard,Cargo,2287,Permanente Metals Co Yard,1943-10-27,1943-11-15,1943-11-23,27.0,John L. Stoddard,Scrapped 1967
Florence Martus,Cargo,1068,Southeastern Shipbuilding Corp,1943-09-27,1943-11-11,1943-11-23,57.0,Florence Martus,Scrapped 1960
John W Meldrum,Cargo,2120,Permanente Metals Co Yard,1943-10-18,1943-11-13,1943-11-23,36.0,John W. Meldrum,Scrapped 1971
Mary Ball,Cargo,1534,J A Jones Construction Co (Panama City),1943-07-20,1943-10-17,1943-11-23,126.0,Mary Ball,Scrapped 1972
Samcleve,Cargo,1824,Bethlehem-Fairfield Shipyards,1943-10-17,1943-11-15,1943-11-23,37.0,Samcleve,"Sold private 1947, scrapped 1975"
Mary Wilkins Freeman,Cargo,2192,New England Shipbuilding Corp,1943-10-01,1943-11-13,1943-11-24,54.0,Mary Wilkins Freeman,"Sold private 1947, scrapped 1966"
Richard J Oglesby,Cargo,2526,Oregon Shipbuilding Corp,1943-10-27,1943-11-15,1943-11-24,28.0,Richard J. Oglesby,Scrapped 1958
George P McKay,Cargo,2525,Oregon Shipbuilding Corp,1943-10-25,1943-11-13,1943-11-24,30.0,George P. McKay,"Sold private 1947, scrapped 1969"
James Carroll,Cargo,1826,Bethlehem-Fairfield Shipyards,1943-10-19,1943-11-16,1943-11-25,37.0,Samgara,"Sold private 1947, scrapped 1969"
Frank H Dodd,Cargo,2288,Permanente Metals Co Yard,1943-10-29,1943-11-16,1943-11-25,27.0,Frank H. Dodd,"Sold private 1947, scrapped 1967"
Alderamin,Cargo,1963,Todd Houston Shipbuilding Corp,1943-10-05,1943-11-13,1943-11-25,51.0,J. S. Cullinan,"To U.S. Navy as Alderamin (AK-116), scrapped 1965"
Caribou ,Tanker,1903,California Shipbuilding Corp,1943-10-05,1943-11-02,1943-11-25,51.0,Nathaniel B. Palmer,"To U.S. Navy as Caribou (IX-114), sold private 1948, wrecked 1952, repaired, scrapped 1962"
Clyde L Seavey,Cargo,2121,Permanente Metals Co Yard,1943-10-22,1943-11-16,1943-11-26,35.0,Clyde L. Seavey,Scrapped 1966
Francis C Harrington,Cargo,1825,Bethlehem-Fairfield Shipyards,1943-10-18,1943-11-18,1943-11-26,39.0,Francis C. Harrington,"Mined off Normandy 1944, repaired, scrapped 1962"
Elk ,Tanker,1904,California Shipbuilding Corp,1943-10-09,1943-11-06,1943-11-26,48.0,William Winter,"To U.S. Navy as Elk (IX-115), sold private 1948, wrecked 1960, scrapped 1968"
John B Gordon,Cargo,1504,J A Jones Construction Co (Brunswick),1943-09-06,1943-11-16,1943-11-26,81.0,John B. Gordon,Scrapped 1961
Mary Walker,Cargo,2289,Permanente Metals Co Yard,1943-10-30,1943-11-18,1943-11-26,27.0,Mary Walker,"Sold private 1947, scrapped 1963"
Zaurak,Cargo,1964,Todd Houston Shipbuilding Corp,1943-10-07,1943-11-18,1943-11-27,51.0,Hugh Young,"To U.S. Navy as Zaurak (AK-117), scrapped 1963"
Crux,Cargo,1212,St Johns River Shipbuilding Co,1943-09-27,1943-11-16,1943-11-27,61.0,Peter Stuyvesant,"To U.S. Navy as Crux (AK-115), scrapped 1962"
J Maurice Thompson,Cargo,2290,Permanente Metals Co Yard,1943-10-31,1943-11-19,1943-11-28,28.0,J. Maurice Thompson,"Sold private 1947, sunk 1966"
John Ball,Cargo,2527,Oregon Shipbuilding Corp,1943-10-29,1943-11-17,1943-11-28,30.0,John Ball,Scrapped 1965
Culebra Island,Cargo,1830,Bethlehem-Fairfield Shipyards,1943-10-29,1943-11-23,1943-11-29,31.0,John F. Goucher,"To U.S. Navy as Culebra Island (ARG-7), scrapped 1974"
Samfield,Cargo,1828,Bethlehem-Fairfield Shipyards,1943-10-23,1943-11-20,1943-11-29,37.0,Samfield,"Sold private 1947, wrecked and scrapped 1961"
Barbara Frietchie,Cargo,1827,Bethlehem-Fairfield Shipyards,1943-10-21,1943-11-19,1943-11-29,39.0,Barbara Frietchie,"Sold private 1947, scrapped 1964"
Gazelle ,Tanker,1905,California Shipbuilding Corp,1943-10-11,1943-11-09,1943-11-29,49.0,Cyrus K. Holliday,"To U.S. Navy as Gazelle (IX-116), sold private 1948, scrapped 1966"
William A Coulter,Cargo,2122,Permanente Metals Co Yard,1943-10-25,1943-11-19,1943-11-29,35.0,William A. Coulter,Scrapped 1965
Walter Williams,Cargo,2291,Permanente Metals Co Yard,1943-11-02,1943-11-21,1943-11-29,27.0,Walter Williams,Scrapped 1960
Charles H Herty,Cargo,1069,Southeastern Shipbuilding Corp,1943-10-02,1943-11-17,1943-11-30,59.0,Charles H. Herty,Scrapped 1967
Leo J Duster,Cargo,1829,Bethlehem-Fairfield Shipyards,1943-10-25,1943-11-21,1943-11-30,36.0,Leo J. Duster,"Sold private 1947, scrapped 1969"
Samboston,Cargo,1832,Bethlehem-Fairfield Shipyards,1943-11-01,1943-11-24,1943-11-30,29.0,Willis J. Abbot,"Sold private 1947, scrapped 1968"
Mary A Livermore,Cargo,2292,Permanente Metals Co Yard,1943-11-04,1943-11-22,1943-11-30,26.0,Mary A. Livermore,"Kamikazied off Okinawa 1945, repaired, sold private 1947, scrapped 1968"
Edward P Alexander,Cargo,1505,J A Jones Construction Co (Brunswick),1943-09-21,1943-11-23,1943-11-30,70.0,Edward P. Alexander,"Sold private 1947, wrecked 1963, TL"
Albert G Brown ,Tanker,1921,Delta Shipbuilding Co,1943-09-03,1943-10-18,1943-11-30,88.0,Albert G. Brown,"Sold private 1947, scrapped 1960"
Seaman A Knapp,Cargo,2701,Permanente Metals Co Yard,1943-11-05,1943-11-24,1943-11-30,25.0,Seaman A. Knapp,Scrapped 1972
J Willard Gibbs,Cargo,2195,New England Shipbuilding Corp,1943-10-06,1943-11-21,1943-11-30,55.0,J. Willard Gibbs,Scrapped 1967
Samtrent,Cargo,2199,New England Shipbuilding Corp,1943-10-11,1943-11-24,1943-11-30,50.0,Percy D. Haughton,Scrapped 1962
John Barton Payne,Cargo,1535,J A Jones Construction Co (Panama City),1943-08-11,1943-10-23,1943-11-30,111.0,John Barton Payne,Scrapped 1972
Matthew J O'Brien,Cargo,1965,Todd Houston Shipbuilding Corp,1943-10-12,1943-11-20,1943-11-30,49.0,Matthew J. O'Brien,Scrapped 1966
Ralph A Cram,Cargo,1910,California Shipbuilding Corp,1943-10-18,1943-11-11,1943-12-01,44.0,Ralph A. Cram,"Sold private 1947, scrapped 1973"
Segundo Ruiz Belvis,Cargo,2528,Oregon Shipbuilding Corp,1943-10-30,1943-11-19,1943-12-01,32.0,Segundo Ruiz Belvis,"Sold private 1947, wrecked and scrapped 1947"
Frank B Linderman,Cargo,2529,Oregon Shipbuilding Corp,1943-11-01,1943-11-20,1943-12-03,32.0,Frank B. Linderman,Scrapped 1962
James C Cameron,Cargo,1831,Bethlehem-Fairfield Shipyards,1943-10-31,1943-11-25,1943-12-03,33.0,James C. Cameron,Scrapped 1961
Gemsbok  ,Tanker,1906,California Shipbuilding Corp,1943-10-13,1943-11-09,1943-12-03,51.0,Carl R. Gray,"To U.S. Navy as Gemsbok (IX-117), sold private 1948, scrapped 1967"
Shaula,Cargo,1213,St Johns River Shipbuilding Co,1943-10-04,1943-11-23,1943-12-04,61.0,James Screven,"To U.S. Navy as Shaula (AK-118), sold private 1947, scrapped 1969"
James Rolph,Cargo,2702,Permanente Metals Co Yard,1943-11-07,1943-11-26,1943-12-04,27.0,James Rolph,"Sold private 1947, scrapped 1967"
Louis Pasteur,Cargo,2123,Permanente Metals Co Yard,1943-10-30,1943-11-23,1943-12-04,35.0,Louis Pasteur,"Sold private 1947, scrapped 1967"
John B Kendrick,Cargo,2530,Oregon Shipbuilding Corp,1943-11-03,1943-11-22,1943-12-05,32.0,John B. Kendrick,"Sold private 1947, scrapped 1967"
John A Roebling,Cargo,1911,California Shipbuilding Corp,1943-10-19,1943-11-13,1943-12-05,47.0,John A. Roebling,"Sold private 1947, scrapped 1968"
Robert R Randall,Cargo,2200,New England Shipbuilding Corp,1943-10-11,1943-11-24,1943-12-06,56.0,Robert R. Randall,"Sold private 1947, scrapped 1969"
Frederic C Howe,Cargo,1536,J A Jones Construction Co (Panama City),1943-08-24,1943-10-30,1943-12-06,104.0,Frederic C. Howe,Scrapped 1972
Hugh M Smith,Cargo,1833,Bethlehem-Fairfield Shipyards,1943-11-05,1943-11-26,1943-12-06,31.0,Hugh M. Smith,Scrapped 1969
Orland Loomis,Cargo,1912,California Shipbuilding Corp,1943-10-21,1943-11-16,1943-12-07,47.0,Orland Loomis,Scrapped 1972
Samtroy,Cargo,1834,Bethlehem-Fairfield Shipyards,1943-11-06,1943-11-29,1943-12-07,31.0,Samtroy,"Sold private 1947, scrapped"
Antonin Dvorak,Cargo,2703,Permanente Metals Co Yard,1943-11-10,1943-11-27,1943-12-07,27.0,Antonín Dvořák,Scrapped 1959
Albert A Robinson,Cargo,2704,Permanente Metals Co Yard,1943-11-11,1943-11-29,1943-12-07,26.0,Albert A. Robinson,Scrapped 1958
Simeon G Reed,Cargo,2531,Oregon Shipbuilding Corp,1943-11-05,1943-11-24,1943-12-07,32.0,Simeon G. Reed,Sold private 1968 and converted to a crane barge
John E Ward,Cargo,1070,Southeastern Shipbuilding Corp,1943-10-13,1943-11-25,1943-12-07,55.0,John E. Ward,Scrapped 1970
James Manning,Cargo,2198,New England Shipbuilding Corp,1943-10-13,1943-11-28,1943-12-08,56.0,James Manning,Scrapped 1961
A J Cermak ,Cargo,1836,Bethlehem-Fairfield Shipyards,1943-11-09,1943-11-30,1943-12-08,29.0,A. J. Cermak,Scrapped 1964
Henry Austin,Cargo,1966,Todd Houston Shipbuilding Corp,1943-10-16,1943-11-26,1943-12-08,53.0,Henry Austin,Scrapped 1964
Jean Baptiste Le ,Tanker,1920,Delta Shipbuilding Co,1943-09-18,1943-10-31,1943-12-08,81.0,Jean Baptiste LeMoyne,"Sold private 1948, declared total loss 1962"
Saggitarius,Cargo,1835,Bethlehem-Fairfield Shipyards,1943-11-08,1943-11-30,1943-12-08,30.0,J. Fred Essary,"To U.S. Navy as Sagittarius (AKN-2), scrapped 1972"
Edward Paine,Cargo,1913,California Shipbuilding Corp,1943-10-24,1943-11-22,1943-12-09,46.0,Edward Paine,Scrapped 1961
Lewis L Dyche,Cargo,2532,Oregon Shipbuilding Corp,1943-11-06,1943-11-26,1943-12-09,33.0,Lewis Lindsay Dyche,Kamikazied and lost off Mindoro 1945
William C Ralston,Cargo,2124,Permanente Metals Co Yard,1943-10-31,1943-11-26,1943-12-10,40.0,William C. Ralston,"Wrecked off Okinawa 1945, CTL, scuttled off California with chemical weapons 1958"
Robert Battey,Cargo,1506,J A Jones Construction Co (Brunswick),1943-10-08,1943-11-30,1943-12-10,63.0,Robert Battey,"Wrecked Mindanao 1945, refloated, disposition unknown"
Mercy Warren,Cargo,2201,New England Shipbuilding Corp,1943-10-11,1943-11-24,1943-12-10,60.0,Mercy Warren,Scrapped 1971
Richard B Moore,Cargo,2705,Permanente Metals Co Yard,1943-11-12,1943-11-30,1943-12-10,28.0,Richard B. Moore,"Sold private 1947, scrapped 1972"
Matar,Cargo,1214,St Johns River Shipbuilding Co,1943-10-16,1943-11-30,1943-12-10,55.0,Napoleon B. Broward,"To U.S. Navy as Matar (AK-119), scrapped 1972"
Alexander Wilson,Cargo,2706,Permanente Metals Co Yard,1943-11-13,1943-12-02,1943-12-10,27.0,Alexander Wilson,"Sold private 1947, wrecked and scrapped 1952"
John Straub,Cargo,2533,Oregon Shipbuilding Corp,1943-11-08,1943-11-27,1943-12-11,33.0,John Straub,Broke in two and sank 1944
Charles Morgan,Cargo,2420,Todd Houston Shipbuilding Corp,1943-10-20,1943-11-30,1943-12-11,52.0,Charles Morgan,Bombed and lost off Normandy 1944
Sylvester Pattie,Cargo,1914,California Shipbuilding Corp,1943-10-26,1943-11-23,1943-12-12,47.0,Sylvester Pattie,Scrapped 1967
Jose C Barbosa,Cargo,2707,Permanente Metals Co Yard,1943-11-15,1943-12-05,1943-12-12,27.0,José C. Barbosa,Scrapped 1960
Giraffe ,Tanker,1907,California Shipbuilding Corp,1943-10-14,1943-11-11,1943-12-12,59.0,Sanford B. Dole,"To U.S. Navy as Giraffe (IX-118), sold private 1948, scrapped 1967"
Lawrence Gianella,Cargo,2125,Permanente Metals Co Yard,1943-11-11,1943-11-29,1943-12-12,31.0,Lawrence Gianella,"Sold private 1947, scrapped 1965"
Samvard,Cargo,1837,Bethlehem-Fairfield Shipyards,1943-11-12,1943-12-03,1943-12-13,31.0,Samvard,"Sold private 1947, sunk 1968"
Wilbur O Atwater,Cargo,2534,Oregon Shipbuilding Corp,1943-11-10,1943-11-29,1943-12-13,33.0,Wilbur O. Atwater,"Sold private 1947, scrapped 1968"
Louis Kossuth,Cargo,1838,Bethlehem-Fairfield Shipyards,1943-11-13,1943-12-04,1943-12-13,30.0,Louis Kossuth,Scrapped 1959
Charles A Wickliffe ,Tanker,1925,Delta Shipbuilding Co,1943-09-15,1943-10-30,1943-12-13,89.0,Charles A. Wickliffe,"Sold private 1951, scrapped 1971"
Ibex,Tanker,1908,California Shipbuilding Corp,1943-10-16,1943-11-15,1943-12-13,58.0,Nicholas Longworth,"To U.S. Navy as Ibex (IX-119), sold private 1948, wrecked and scrapped 1966"
Samport,Cargo,1839,Bethlehem-Fairfield Shipyards,1943-11-14,1943-12-06,1943-12-14,30.0,Samport,"Sold private 1947, scrapped 1962"
Alexander Mitchell,Cargo,2708,Permanente Metals Co Yard,1943-11-16,1943-12-06,1943-12-14,28.0,Alexander Mitchell,"Sold private 1947, scrapped 1967"
Edwin L Godkin,Cargo,1071,Southeastern Shipbuilding Corp,1943-10-19,1943-11-30,1943-12-14,56.0,Edwin L. Godkin,"Sold private 1947, scrapped 1971"
Joshua B Lippincott,Cargo,1841,Bethlehem-Fairfield Shipyards,1943-11-16,1943-12-05,1943-12-15,29.0,Joshua B. Lippincott,Scrapped 1971
Jaguar,Tanker,1909,California Shipbuilding Corp,1943-10-17,1943-11-20,1943-12-15,59.0,Charles T. Yerkes,"To U.S. Navy as Jaguar (IX-120), sold private 1948, wrecked and scrapped 1954"
